Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2015-01-13 22:00:00	231.025	233.1	216.11	219.515	2369.72	526290.86	222.09
2015-01-13 23:00:00	219.527	223.24	211.99	220.682	1684.28	365013.77	216.72
2015-01-14 00:00:00	220.682	221.761	210.001	212.494	1960.7	418474.02	213.43
2015-01-14 01:00:00	212.491	214.905	210.994	214	645.11	137148.78	212.6
2015-01-14 02:00:00	213.999	220.3	213.627	217.056	722.18	156838.6	217.17
2015-01-14 03:00:00	217.041	218	214.208	216.207	458.37	99101.92	216.21
2015-01-14 04:00:00	215.38	216.406	214	214.74	563.04	120978.46	214.87
2015-01-14 05:00:00	214.317	215	210	210	1067.57	226805.64	212.45
2015-01-14 06:00:00	210.07	210.854	202	203.828	3321.42	681192.22	205.09
2015-01-14 07:00:00	203.828	205	176.51	191.997	9174.76	1731567.98	188.73
2015-01-14 08:00:00	191.997	200	180.168	200	3124.74	585785.79	187.47
2015-01-14 09:00:00	199.453	213.308	195.841	200.887	6374.13	1290469.2	202.45
2015-01-14 10:00:00	200.887	202.201	187.01	195.296	3108.71	607105.44	195.29
2015-01-14 11:00:00	195.296	195.9	185.1	188.959	1598.13	305537.68	191.18
2015-01-14 12:00:00	188.959	189.853	183.56	189.4	1573.81	292719.61	185.99
2015-01-14 13:00:00	189.793	199	186.12	197.962	1609.22	307598.73	191.15
2015-01-14 14:00:00	197.962	203.159	188.848	191.885	2778.6	544731.79	196.05
2015-01-14 15:00:00	191.63	193	188.755	190	823.09	156933.85	190.67
2015-01-14 16:00:00	189.999	191.197	182.156	183.216	2097.73	389096.94	185.48
2015-01-14 17:00:00	183.217	184.185	176	176	2638.17	472276.81	179.02
2015-01-14 18:00:00	175.982	178.45	168.2	177.943	3173.27	547345.61	172.49
2015-01-14 19:00:00	178.45	186.44	172	178.326	3046.09	546721.94	179.48
2015-01-14 20:00:00	178.336	182.4	175	176.151	1010.3	181067.36	179.22
2015-01-14 21:00:00	176.151	178.202	173.536	174.594	859.07	151127.6	175.92
2015-01-14 22:00:00	174.594	175.455	162.68	167.125	3159.31	530670.45	167.97
2015-01-14 23:00:00	167.281	173.561	163.059	170	2106.84	355915.94	168.93
2015-01-15 00:00:00	170	183	167.945	178.73	2472.37	437079.18	176.79
2015-01-15 01:00:00	178.73	193	178.102	188.6	3956.6	739835.93	186.99
2015-01-15 02:00:00	188.601	201	185	194.598	2872.96	561362.29	195.4
2015-01-15 03:00:00	194.598	197.5	184.487	185.87	1753.8	334068.41	190.48
2015-01-15 04:00:00	186.991	194	185.749	190.991	1005.76	190705.66	189.61
2015-01-15 05:00:00	190.991	191.986	185.01	189.832	977.82	183902.12	188.07
2015-01-15 06:00:00	189.779	201	189.095	193.208	1468.94	286894.11	195.31
2015-01-15 07:00:00	193.209	194.132	187	192.162	662.52	125998.42	190.18
2015-01-15 08:00:00	192.026	196.777	189.831	194.273	1407.8	273925.95	194.58
2015-01-15 09:00:00	194.265	200.999	191.064	200.504	1081.29	211863.51	195.94
2015-01-15 10:00:00	200.82	215	200.005	211.694	3573.33	742540.27	207.8
2015-01-15 11:00:00	211.694	212.718	205.765	208.932	1662.34	347988.86	209.34
2015-01-15 12:00:00	208.932	217.969	208	215.46	2134.18	456338.68	213.82
2015-01-15 13:00:00	214.5	227.76	211	222.08	3726.32	818965.89	219.78
2015-01-15 14:00:00	222.02	223.788	208	211.867	3947.06	853445.66	216.22
2015-01-15 15:00:00	212	216.011	209.678	215.415	1298.93	277838.9	213.9
2015-01-15 16:00:00	214.583	215.435	203	208.797	2352.59	488637.5	207.7
2015-01-15 17:00:00	208.797	212.449	203.7	211	1265.71	262819.18	207.65
2015-01-15 18:00:00	210.973	217.497	209.215	212.519	1613.95	344396.62	213.39
2015-01-15 19:00:00	212.519	213	205	207.051	1014.19	211700.31	208.74
2015-01-15 20:00:00	206.874	207.113	195.183	197.106	2531.47	508003.94	200.68
2015-01-15 21:00:00	197.106	203.997	192.989	201.369	2256.81	444573.87	196.99
2015-01-15 22:00:00	201.368	207.5	200.902	203.46	1326.24	270947.81	204.3
2015-01-15 23:00:00	203.46	215	203.46	207.323	1664.54	350067.63	210.31
2015-01-16 00:00:00	207.383	214.477	205.558	210.671	651.2	136506.42	209.62
2015-01-16 01:00:00	210.554	212	202.003	206.387	584.59	121666.43	208.12
2015-01-16 02:00:00	206.215	214.5	205.363	211.551	975.12	205977.81	211.23
2015-01-16 03:00:00	212.088	217	211.551	216.998	463.57	99501.49	214.64
2015-01-16 04:00:00	216.997	219	213.776	214.604	867.03	187319.14	216.05
2015-01-16 05:00:00	214.604	216.904	214.527	214.718	310.56	66957.87	215.6
2015-01-16 06:00:00	214.712	214.712	206.4	211.782	935.43	196489.83	210.05
2015-01-16 07:00:00	212.225	216.412	210.133	213.005	860.94	183528.94	213.17
2015-01-16 08:00:00	213.005	213.79	210.13	212.501	449.89	95327.44	211.89
2015-01-16 09:00:00	212.503	217.417	211.111	216	834.81	179146.91	214.6
2015-01-16 10:00:00	216.001	219	215.079	218.02	900.94	195860.91	217.4
2015-01-16 11:00:00	218.97	219.999	207.003	211.491	1302.67	279460.75	214.53
2015-01-16 12:00:00	211.872	212	204	209.079	1716.46	356710.34	207.82
2015-01-16 13:00:00	208.501	210	202.949	207.6	1345.63	277480.29	206.21
2015-01-16 14:00:00	207.6	208.583	206	206.265	535.53	110788.6	206.88
2015-01-16 15:00:00	206.235	220	200.56	205.645	2142.33	441213.41	205.95
2015-01-16 16:00:00	205.626	206.742	201.11	204.098	621.76	126899.89	204.1
2015-01-16 17:00:00	204	204.625	196	201.265	1529.64	304776.45	199.25
2015-01-16 18:00:00	201.265	207.549	199.007	203.997	1409.31	286861.16	203.55
2015-01-16 19:00:00	203.996	206.005	202	205.864	813.2	166048.32	204.19
2015-01-16 20:00:00	205.794	206	202.997	204.089	1080.72	220878.37	204.38
2015-01-16 21:00:00	204.11	206.471	204.11	205.993	347.94	71365.75	205.11
2015-01-16 22:00:00	205.946	205.946	201.556	204.245	602.71	122932.37	203.97
2015-01-16 23:00:00	204.245	206.756	203	204.98	365.41	74789.52	204.67
2015-01-17 00:00:00	205.46	206	203.408	205.34	398.84	81759.03	204.99
2015-01-17 01:00:00	205	208.5	205	207.215	251.79	51976.72	206.43
2015-01-17 02:00:00	207.335	208.131	205.1	206.427	107.37	22159.74	206.38
2015-01-17 03:00:00	206.196	212	206.196	209.018	710.87	149085.99	209.72
2015-01-17 04:00:00	209.046	209.665	202.223	202.7	764.68	157673.54	206.2
2015-01-17 05:00:00	202.7	204.286	197.952	200.583	1216.81	243240.45	199.9
2015-01-17 06:00:00	201.19	202.238	197.48	199.166	372.69	74460.68	199.8
